"","HrsSleep2009","Sex","BdayMonth","YearBorn","Ethnicity","ASVAB","LifeSat2008","Income2008","HeightFt2010","HeightIn2010","Weight2010","Computer2010","HrsSleep2010","Cohab2009"
"1",7,"Female",9,1981,"Non-Black / Non-Hispanic",45070,8,43500,5,7,152,6,6,FALSE
"2",8,"Male",7,1982,"Hispanic",58483,9,55000,5,7,189,6,7,FALSE
"4",6,"Female",2,1981,"Hispanic",37012,10,65000,5,1,160,6,6,TRUE
"13",5,"Male",11,1984,"Hispanic",67533,7,20000,5,5,136,5,5,TRUE
"23",6,"Female",1,1983,"Hispanic",6423,5,55000,4,11,115,6,6,FALSE
"27",5,"Male",5,1981,"Black",9161,8,3500,5,6,165,5,7,TRUE
"28",7,"Female",11,1983,"Black",17058,6,32000,6,0,210,6,6,FALSE
"31",6,"Male",7,1982,"Non-Black / Non-Hispanic",62806,8,77000,5,9,136,5,8,FALSE
"32",7,"Female",7,1981,"Non-Black / Non-Hispanic",39949,8,121993,5,8,150,6,7,TRUE
"33",7,"Female",12,1980,"Non-Black / Non-Hispanic",96655,8,15000,5,4,138,3,7,TRUE
"35",7,"Male",1,1983,"Non-Black / Non-Hispanic",59270,9,42500,5,7,180,5,7,TRUE
"37",7,"Female",11,1980,"Non-Black / Non-Hispanic",82912,6,40000,5,6,130,5,6,FALSE
"38",6,"Female",9,1981,"Non-Black / Non-Hispanic",68753,8,50000,5,7,130,4,6,FALSE
"42",7,"Male",8,1983,"Non-Black / Non-Hispanic",44217,8,20000,5,9,210,6,7,FALSE
"43",6,"Female",10,1981,"Black",22965,9,28000,5,2,135,4,6,FALSE
"47",5,"Female",9,1982,"Black",46475,6,21000,5,0,162,6,3,FALSE
"48",7,"Female",7,1983,"Black",63769,7,28000,5,7,175,6,6,FALSE
"49",6,"Female",12,1982,"Black",79413,8,28600,5,5,203,6,10,TRUE
"51",6,"Male",6,1980,"Black",51057,7,28000,5,5,180,4,7,FALSE
"52",6,"Male",12,1983,"Black",29824,6,27000,5,9,260,3,4,TRUE
"54",8,"Female",12,1984,"Black",58541,4,8000,5,4,215,5,7,FALSE
"55",6,"Female",2,1981,"Hispanic",53241,8,31000,5,4,280,5,5,TRUE
"56",8,"Female",2,1982,"Non-Black / Non-Hispanic",96703,10,75000,5,5,170,4,7,TRUE
"58",5,"Male",11,1983,"Black",15235,8,53000,5,8,210,3,4,FALSE
"59",7,"Female",4,1981,"Black",56429,8,43000,5,10,300,6,6,FALSE
"60",8,"Male",1,1984,"Non-Black / Non-Hispanic",1355,5,7000,5,9,160,6,8,FALSE
"61",6,"Female",5,1983,"Black",44495,7,33000,5,2,185,5,4,FALSE
"62",6,"Male",3,1980,"Black",73429,8,35000,6,3,240,6,6,TRUE
"69",7,"Female",7,1981,"Black",81315,9,53000,5,6,125,6,8,FALSE
"75",7,"Male",1,1982,"Non-Black / Non-Hispanic",7556,7,30000,5,7,160,6,8,TRUE
"76",10,"Male",1,1982,"Non-Black / Non-Hispanic",34058,7,65000,5,7,165,4,7,TRUE
"82",7,"Male",7,1984,"Hispanic",69940,8,23000,6,1,210,4,6,TRUE
"86",7,"Female",10,1980,"Non-Black / Non-Hispanic",13722,9,35000,5,3,120,6,7,TRUE
"89",7,"Male",11,1981,"Non-Black / Non-Hispanic",78892,7,60000,5,11,190,5,6,TRUE
"93",8,"Male",9,1983,"Hispanic",5351,10,25000,5,5,130,4,7,TRUE
"97",7,"Male",6,1980,"Hispanic",58177,9,56000,6,0,160,5,7,FALSE
"100",5,"Female",1,1981,"Black",10086,8,0,5,5,170,4,7,TRUE
"104",7,"Female",11,1980,"Non-Black / Non-Hispanic",58482,9,70000,5,5,278,6,5,TRUE
"105",7,"Male",8,1983,"Non-Black / Non-Hispanic",74883,10,42000,5,6,215,6,7,TRUE
"107",7,"Female",8,1982,"Non-Black / Non-Hispanic",94837,6,60000,5,3,125,6,8,TRUE
"108",8,"Male",9,1984,"Non-Black / Non-Hispanic",83765,5,35000,6,0,188,6,8,TRUE
"109",6,"Female",3,1982,"Non-Black / Non-Hispanic",90866,5,46000,5,3,104,6,7,TRUE
"110",7,"Female",2,1984,"Non-Black / Non-Hispanic",43864,8,45000,5,9,155,6,8,TRUE
"122",6,"Male",6,1984,"Non-Black / Non-Hispanic",59605,8,25000,6,2,340,3,4,FALSE
"126",4,"Male",5,1981,"Non-Black / Non-Hispanic",35303,6,60000,5,8,145,1,0,TRUE
"127",8,"Female",3,1982,"Non-Black / Non-Hispanic",58706,9,45000,5,3,200,5,8,TRUE
"128",6,"Female",8,1982,"Non-Black / Non-Hispanic",71624,6,60000,5,3,160,6,8,FALSE
"132",8,"Male",2,1983,"Non-Black / Non-Hispanic",89334,10,52000,5,10,170,5,9,TRUE
"133",7,"Male",7,1982,"Non-Black / Non-Hispanic",83789,9,67500,5,9,167,6,7,TRUE
"135",8,"Male",4,1981,"Non-Black / Non-Hispanic",94833,8,48000,6,1,190,6,8,TRUE
"137",6,"Female",5,1980,"Non-Black / Non-Hispanic",63329,10,20000,5,6,151,3,6,TRUE
"143",8,"Male",8,1981,"Black",42098,8,45000,5,9,165,5,5,TRUE
"144",6,"Male",8,1982,"Black",62219,7,33000,6,2,195,5,6,FALSE
"145",6,"Male",4,1984,"Black",39585,8,42000,5,11,204,6,6,TRUE
"149",7,"Female",4,1983,"Black",5071,5,5800,5,8,200,1,8,FALSE
"151",7,"Female",1,1982,"Black",19749,7,37000,5,8,175,3,6,FALSE
"155",6,"Male",2,1980,"Non-Black / Non-Hispanic",99595,10,121993,5,10,180,6,6,FALSE
"156",7,"Male",11,1982,"Non-Black / Non-Hispanic",92692,7,30000,5,10,165,6,7,TRUE
"158",5,"Male",12,1984,"Hispanic",79949,9,56000,5,11,280,6,4,TRUE
"159",6,"Female",1,1980,"Hispanic",3049,10,32000,5,6,234,6,9,TRUE
"164",6,"Female",7,1981,"Non-Black / Non-Hispanic",50169,5,43500,5,4,125,6,6,TRUE
"165",7,"Male",4,1980,"Non-Black / Non-Hispanic",40421,10,121993,5,11,228,6,7,TRUE
"166",8,"Female",9,1982,"Non-Black / Non-Hispanic",83128,8,121993,5,6,142,6,8,TRUE
"168",8,"Male",1,1981,"Hispanic",31337,10,24000,6,1,165,4,6,TRUE
"169",8,"Female",1,1983,"Non-Black / Non-Hispanic",75582,7,10000,5,7,250,3,6,TRUE
"170",7,"Female",8,1984,"Non-Black / Non-Hispanic",61533,8,31000,5,2,230,3,7,FALSE
"171",6,"Female",7,1984,"Hispanic",87967,10,22000,5,4,120,4,6,TRUE
"176",6,"Male",9,1982,"Non-Black / Non-Hispanic",90292,9,59000,6,0,205,6,8,TRUE
"177",6,"Female",11,1980,"Non-Black / Non-Hispanic",46304,8,58340,5,2,180,6,7,TRUE
"181",6,"Female",11,1982,"Non-Black / Non-Hispanic",100000,9,48000,5,5,220,6,8,TRUE
"182",7,"Female",5,1984,"Non-Black / Non-Hispanic",98196,9,78000,5,3,140,6,7,TRUE
"183",5,"Female",12,1980,"Non-Black / Non-Hispanic",81282,5,31000,5,6,140,6,5,FALSE
"187",4,"Male",9,1983,"Hispanic",85828,10,36000,6,1,195,6,7,TRUE
"190",6,"Male",10,1983,"Non-Black / Non-Hispanic",82474,5,20000,5,5,185,2,6,TRUE
"191",0,"Male",2,1982,"Non-Black / Non-Hispanic",74248,5,20000,5,8,175,4,7,TRUE
"192",6,"Female",3,1982,"Hispanic",55484,9,24000,5,2,175,4,6,FALSE
"193",8,"Female",2,1981,"Black",18081,8,15000,5,5,178,4,8,TRUE
"194",6,"Female",10,1980,"Hispanic",49636,8,29500,5,4,235,5,6,TRUE
"198",6,"Female",7,1980,"Non-Black / Non-Hispanic",29945,6,15000,5,2,185,5,8,TRUE
"201",7,"Female",12,1983,"Non-Black / Non-Hispanic",99591,7,35000,5,4,106,6,7,TRUE
"202",7,"Male",1,1982,"Non-Black / Non-Hispanic",39048,7,60000,6,2,195,1,8,TRUE
"203",7,"Female",1,1984,"Non-Black / Non-Hispanic",46707,10,50000,5,6,112,6,7,FALSE
"204",5,"Female",5,1981,"Non-Black / Non-Hispanic",61895,8,40000,5,7,240,6,5,TRUE
"212",7,"Male",2,1980,"Hispanic",42507,9,53000,5,5,175,6,7,TRUE
"213",6,"Female",4,1982,"Hispanic",35568,7,38000,5,1,134,3,6,TRUE
"214",5,"Female",11,1982,"Hispanic",66561,7,80000,5,2,128,6,5,TRUE
"216",6,"Female",6,1980,"Hispanic",60496,8,32000,5,4,292,6,7,TRUE
"219",7,"Male",3,1982,"Mixed Race (Non-Hispanic)",80773,8,24000,5,9,170,6,7,FALSE
"221",6,"Female",9,1984,"Non-Black / Non-Hispanic",82209,7,23000,5,3,115,4,6,FALSE
"222",5,"Male",1,1981,"Hispanic",62197,7,40000,5,6,155,6,5,FALSE
"224",7,"Female",10,1982,"Non-Black / Non-Hispanic",37760,10,30000,5,4,158,6,7,TRUE
"225",4,"Male",10,1980,"Non-Black / Non-Hispanic",54975,2,46000,5,11,285,6,5,TRUE
"228",5,"Male",1,1984,"Non-Black / Non-Hispanic",29631,8,30000,6,0,165,6,5,TRUE
"230",7,"Male",5,1984,"Hispanic",62122,7,20000,5,6,160,6,7,TRUE
"232",8,"Male",6,1984,"Hispanic",43085,8,38000,5,11,185,3,8,FALSE
"235",5,"Female",8,1981,"Non-Black / Non-Hispanic",60888,6,60000,5,3,115,4,7,FALSE
"237",6,"Male",3,1983,"Non-Black / Non-Hispanic",58782,8,25000,5,8,140,6,7,FALSE
"242",4,"Male",6,1984,"Hispanic",45199,10,44000,6,0,285,6,5,TRUE
"244",6,"Male",3,1983,"Hispanic",10687,8,35000,5,8,180,6,7,TRUE
"247",6,"Male",3,1982,"Non-Black / Non-Hispanic",86419,8,46500,5,10,180,6,5,FALSE
"248",9,"Female",9,1983,"Non-Black / Non-Hispanic",87611,5,35000,5,6,125,6,9,FALSE
"251",9,"Male",4,1982,"Hispanic",56495,8,50000,5,7,150,6,10,FALSE
"252",6,"Female",7,1984,"Hispanic",63505,8,12000,5,3,110,6,7,FALSE
"254",8,"Male",8,1981,"Non-Black / Non-Hispanic",58224,8,65000,5,10,155,4,8,FALSE
"258",8,"Male",11,1982,"Non-Black / Non-Hispanic",42366,8,17000,5,5,160,6,8,TRUE
"260",6,"Male",12,1980,"Black",18085,10,29000,6,0,244,4,8,FALSE
"264",6,"Male",7,1982,"Non-Black / Non-Hispanic",57523,9,20000,5,6,170,5,6,TRUE
"265",7,"Male",9,1983,"Hispanic",10621,10,36000,5,7,145,3,8,TRUE
"267",5,"Female",12,1980,"Non-Black / Non-Hispanic",91328,9,40000,5,5,140,3,4,TRUE
"278",6,"Male",9,1980,"Non-Black / Non-Hispanic",63505,10,40000,6,0,200,6,4,TRUE
"281",7,"Male",12,1984,"Black",53768,5,32000,5,11,175,1,7,FALSE
"282",8,"Male",6,1980,"Non-Black / Non-Hispanic",20877,9,40000,5,6,130,5,8,FALSE
"283",6,"Male",5,1984,"Non-Black / Non-Hispanic",72692,7,35000,5,6,160,4,6,FALSE
"285",3,"Male",2,1981,"Non-Black / Non-Hispanic",28624,10,42000,6,0,330,5,6,TRUE
"287",6,"Male",5,1980,"Non-Black / Non-Hispanic",18211,6,47911,5,9,244,1,6,TRUE
"288",5,"Female",10,1983,"Non-Black / Non-Hispanic",34539,8,28000,5,5,220,3,6,FALSE
"289",4,"Female",10,1984,"Non-Black / Non-Hispanic",52200,5,29000,5,1,185,6,4,TRUE
"291",6,"Female",6,1980,"Non-Black / Non-Hispanic",44991,5,26000,5,7,250,6,4,TRUE
"293",7,"Female",11,1983,"Hispanic",89741,8,500,5,3,135,6,6,TRUE
"294",6,"Male",5,1982,"Hispanic",64580,9,38000,6,0,230,6,7,TRUE
"296",7,"Female",12,1981,"Hispanic",10256,10,30000,5,1,132,6,8,TRUE
"297",7,"Male",7,1984,"Hispanic",17932,10,40000,5,6,220,4,8,TRUE
"298",5,"Female",6,1983,"Non-Black / Non-Hispanic",95218,7,21500,5,6,149,6,8,FALSE
"299",6,"Male",5,1981,"Non-Black / Non-Hispanic",18566,10,40000,5,11,220,6,7,TRUE
"303",6,"Female",9,1980,"Non-Black / Non-Hispanic",56044,7,45000,5,7,180,5,7,TRUE
"307",7,"Female",5,1980,"Non-Black / Non-Hispanic",88283,7,75000,5,3,120,4,9,FALSE
"312",7,"Female",7,1982,"Non-Black / Non-Hispanic",80507,9,30000,5,5,145,6,6,TRUE
"313",8,"Female",4,1981,"Non-Black / Non-Hispanic",96328,9,121993,5,8,134,6,8,TRUE
"315",6,"Female",1,1982,"Non-Black / Non-Hispanic",34805,9,20000,5,4,154,6,6,FALSE
"321",8,"Male",10,1981,"Non-Black / Non-Hispanic",70777,8,59000,6,2,230,4,7,TRUE
"322",7,"Female",6,1982,"Non-Black / Non-Hispanic",55736,5,38000,5,0,109,6,5,FALSE
"323",7,"Male",3,1980,"Non-Black / Non-Hispanic",88413,8,60000,6,1,185,6,7,TRUE
"325",8,"Male",9,1984,"Non-Black / Non-Hispanic",36685,8,28000,5,6,164,6,7,FALSE
"326",7,"Female",3,1980,"Non-Black / Non-Hispanic",35463,7,40000,5,6,120,6,8,TRUE
"332",7,"Male",1,1980,"Non-Black / Non-Hispanic",98368,7,48000,5,2,130,6,7,TRUE
"333",8,"Female",8,1982,"Non-Black / Non-Hispanic",43110,5,12000,5,2,120,6,8,TRUE
"336",7,"Male",2,1982,"Black",48416,8,65000,5,8,155,6,8,TRUE
"337",6,"Male",7,1983,"Non-Black / Non-Hispanic",73243,8,68000,6,0,175,6,6,FALSE
"339",6,"Female",9,1981,"Non-Black / Non-Hispanic",69403,7,35000,5,2,135,4,6,FALSE
"346",8,"Male",5,1984,"Hispanic",25049,3,35000,5,6,180,3,8,FALSE
"362",5,"Female",4,1981,"Hispanic",59187,8,2139,5,3,223,6,6,FALSE
"363",7,"Female",11,1983,"Hispanic",51107,8,27000,5,3,170,6,3,TRUE
"366",6,"Female",8,1980,"Hispanic",45232,8,46000,5,4,172,3,6,TRUE
"367",4,"Male",6,1981,"Hispanic",47394,8,32000,5,7,160,3,6,TRUE
"372",7,"Male",6,1983,"Hispanic",23633,7,52000,6,1,162,4,7,FALSE
"373",7,"Female",8,1984,"Hispanic",7915,10,21000,5,5,190,6,7,TRUE
"382",6,"Female",1,1980,"Non-Black / Non-Hispanic",48082,6,30000,4,11,110,6,6,FALSE
"385",6,"Male",12,1981,"Hispanic",14009,5,50000,5,9,198,6,6,FALSE
"386",7,"Male",6,1980,"Hispanic",36962,7,28000,5,10,230,6,8,TRUE
"387",6,"Female",1,1983,"Hispanic",11738,10,27408,5,2,120,1,5,TRUE
"388",8,"Female",1,1982,"Hispanic",11676,10,7000,5,4,160,1,10,FALSE
"392",7,"Male",1,1980,"Hispanic",95143,7,40000,5,7,170,6,7,TRUE
"394",9,"Male",10,1984,"Hispanic",85233,9,35000,5,9,200,5,8,FALSE
"396",7,"Male",9,1983,"Non-Black / Non-Hispanic",60488,10,8000,5,10,170,6,7,TRUE
"401",7,"Male",6,1984,"Non-Black / Non-Hispanic",59049,7,1500,5,9,180,6,8,TRUE
"403",8,"Female",2,1984,"Black",26195,7,3500,5,9,202,6,8,TRUE
"404",8,"Male",3,1980,"Non-Black / Non-Hispanic",46187,10,55000,6,0,190,6,7,TRUE
"408",8,"Male",5,1980,"Black",50883,6,34000,5,11,235,6,6,FALSE
"412",7,"Male",2,1982,"Hispanic",30740,8,15000,6,3,190,6,7,TRUE
"415",7,"Female",12,1981,"Non-Black / Non-Hispanic",16817,7,50000,5,7,215,4,7,FALSE
"416",7,"Female",7,1980,"Non-Black / Non-Hispanic",99561,8,78000,5,0,116,6,7,TRUE
"417",8,"Female",5,1983,"Non-Black / Non-Hispanic",28489,9,40000,5,5,138,6,8,TRUE
"425",8,"Female",8,1982,"Non-Black / Non-Hispanic",96531,9,26015,5,6,167,3,7,TRUE
"426",8,"Female",12,1980,"Hispanic",2417,10,20000,5,0,190,1,8,FALSE
"432",8,"Male",2,1981,"Hispanic",20973,9,70000,5,11,185,6,8,TRUE
"434",6,"Male",4,1982,"Non-Black / Non-Hispanic",34640,7,12200,6,5,180,6,9,TRUE
"438",6,"Male",3,1983,"Hispanic",22450,7,35000,6,2,200,6,6,FALSE
"440",6,"Male",8,1980,"Hispanic",30844,8,20000,5,4,200,6,6,FALSE
"441",5,"Male",1,1982,"Hispanic",4790,9,15000,5,6,275,1,8,TRUE
"454",5,"Male",8,1982,"Hispanic",57742,8,27000,6,2,230,6,6,FALSE
"456",6,"Male",11,1983,"Hispanic",68666,8,40000,5,11,215,6,7,TRUE
"460",8,"Female",12,1981,"Hispanic",2010,10,12000,5,1,156,2,8,FALSE
"466",7,"Male",12,1983,"Hispanic",7468,7,28000,5,6,170,4,10,TRUE
"472",7,"Female",1,1983,"Hispanic",40550,9,31000,5,3,141,3,5,FALSE
"475",8,"Male",3,1981,"Hispanic",15463,2,30000,5,11,165,5,8,TRUE
"482",8,"Male",7,1983,"Black",30629,8,31000,6,0,202,5,7,FALSE
"483",6,"Male",2,1980,"Hispanic",94974,8,25000,5,8,165,6,6,FALSE
"484",7,"Female",8,1982,"Hispanic",66930,7,15000,5,0,105,6,7,TRUE
"486",7,"Female",6,1980,"Non-Black / Non-Hispanic",74540,9,55000,5,4,145,6,7,TRUE
"487",4,"Male",3,1984,"Non-Black / Non-Hispanic",6538,9,70000,5,11,229,6,5,TRUE
"492",6,"Female",10,1983,"Non-Black / Non-Hispanic",59730,9,11000,5,2,108,6,7,TRUE
"507",9,"Female",8,1984,"Non-Black / Non-Hispanic",9152,8,29000,5,3,112,4,9,TRUE
"508",7,"Male",8,1981,"Hispanic",20532,8,30000,5,7,240,4,7,FALSE
"509",6,"Female",8,1984,"Black",27912,9,41000,5,7,135,5,7,TRUE
"511",7,"Male",1,1980,"Hispanic",19706,10,35000,5,6,205,6,7,TRUE
"515",7,"Female",3,1983,"Hispanic",14734,8,28000,5,5,174,5,6,TRUE
"522",6,"Male",1,1983,"Hispanic",15606,7,24000,6,0,175,4,6,FALSE
"524",6,"Male",8,1981,"Hispanic",29740,10,121993,5,6,152,6,5,FALSE
"528",7,"Female",9,1982,"Non-Black / Non-Hispanic",55307,9,32000,5,2,141,6,9,TRUE
"529",7,"Female",4,1982,"Hispanic",90458,8,30000,5,7,145,6,6,TRUE
"533",8,"Female",1,1983,"Non-Black / Non-Hispanic",62007,7,50000,5,4,120,6,8,FALSE
"535",7,"Female",5,1980,"Non-Black / Non-Hispanic",72473,9,121993,5,3,109,6,8,TRUE
"536",7,"Male",12,1982,"Hispanic",26653,5,42000,6,1,200,6,8,FALSE
"538",6,"Female",8,1983,"Non-Black / Non-Hispanic",15014,9,28000,5,9,320,6,7,TRUE
"542",5,"Female",2,1984,"Black",77604,8,30000,5,7,150,6,6,TRUE
"543",6,"Male",10,1983,"Hispanic",61988,10,10000,6,1,200,6,7,TRUE
"544",8,"Male",2,1981,"Non-Black / Non-Hispanic",95302,10,60000,6,1,200,4,8,TRUE
"545",8,"Male",8,1981,"Black",45886,8,70000,5,11,210,6,7,TRUE
"547",6,"Male",1,1984,"Non-Black / Non-Hispanic",91290,10,121993,6,5,270,6,6,TRUE
"548",9,"Female",11,1984,"Non-Black / Non-Hispanic",65106,10,37000,5,4,118,6,7,TRUE
"551",7,"Male",12,1981,"Non-Black / Non-Hispanic",91323,8,50000,5,7,180,6,8,TRUE
"555",5,"Male",3,1984,"Non-Black / Non-Hispanic",82274,7,37000,5,11,155,6,6,TRUE
"556",8,"Female",7,1982,"Non-Black / Non-Hispanic",82153,6,14000,5,2,180,3,8,TRUE
"557",7,"Female",11,1981,"Hispanic",71808,8,12000,4,11,143,5,7,TRUE
"559",8,"Female",3,1984,"Non-Black / Non-Hispanic",70469,9,8000,5,7,130,3,8,FALSE
"561",5,"Male",3,1984,"Non-Black / Non-Hispanic",65918,9,36000,6,0,255,6,6,TRUE
"562",8,"Female",1,1983,"Hispanic",19305,10,17000,5,4,130,6,5,TRUE
"563",6,"Male",3,1982,"Non-Black / Non-Hispanic",3029,5,0,5,7,135,1,4,TRUE
"564",7,"Male",8,1983,"Non-Black / Non-Hispanic",81035,9,65000,6,2,163,6,6,TRUE
"565",8,"Male",4,1982,"Hispanic",51465,10,30000,5,7,180,6,6,TRUE
"566",8,"Female",7,1982,"Hispanic",48296,10,19000,5,2,138,6,7,TRUE
"568",6,"Male",10,1981,"Non-Black / Non-Hispanic",46128,6,18000,5,7,190,6,6,FALSE
"571",6,"Male",10,1980,"Non-Black / Non-Hispanic",3328,6,68000,5,6,252,5,7,FALSE
"572",8,"Male",10,1983,"Non-Black / Non-Hispanic",74836,7,29000,6,4,275,5,8,TRUE
"576",6,"Male",11,1981,"Non-Black / Non-Hispanic",44856,5,49000,5,9,215,3,6,FALSE
"577",6,"Male",4,1984,"Non-Black / Non-Hispanic",41102,8,55000,5,11,190,6,6,TRUE
"578",8,"Male",12,1982,"Non-Black / Non-Hispanic",53141,6,21000,5,9,175,5,8,TRUE
"579",7,"Female",6,1980,"Non-Black / Non-Hispanic",55555,6,30000,5,6,150,5,7,FALSE
"580",7,"Male",5,1983,"Non-Black / Non-Hispanic",36129,7,32000,5,7,135,6,8,FALSE
"581",7,"Male",4,1982,"Non-Black / Non-Hispanic",28983,9,27000,6,1,342,4,6,TRUE
"584",8,"Female",12,1981,"Non-Black / Non-Hispanic",81343,9,49857,5,5,200,6,4,TRUE
"585",9,"Female",3,1983,"Non-Black / Non-Hispanic",91965,10,45000,5,5,122,6,8,TRUE
"586",6,"Male",1,1980,"Hispanic",38632,7,20000,5,10,285,3,6,FALSE
"587",6,"Female",1,1983,"Hispanic",58110,7,43000,5,6,197,6,6,TRUE
"590",7,"Male",9,1983,"Non-Black / Non-Hispanic",93526,7,29000,6,1,240,6,8,FALSE
"591",8,"Female",12,1982,"Hispanic",71510,9,1500,5,2,159,4,7,TRUE
"592",6,"Female",10,1984,"Hispanic",32409,8,51000,5,3,200,6,7,FALSE
"598",8,"Male",4,1981,"Hispanic",30224,8,46000,5,9,185,6,7,TRUE
"599",6,"Female",9,1981,"Hispanic",25566,10,39000,5,3,157,6,6,TRUE
"600",6,"Male",9,1984,"Hispanic",14295,8,30000,5,9,187,5,7,FALSE
"603",7,"Male",5,1984,"Hispanic",5825,8,45000,5,8,215,4,6,TRUE
"605",8,"Female",2,1983,"Hispanic",25410,10,8000,5,0,220,1,5,TRUE
"606",10,"Male",5,1980,"Non-Black / Non-Hispanic",70761,3,12000,6,4,215,6,5,FALSE
"608",7,"Male",3,1983,"Non-Black / Non-Hispanic",81071,8,32000,5,11,190,5,7,FALSE
"610",7,"Female",10,1981,"Non-Black / Non-Hispanic",45169,8,10000,5,8,145,4,7,TRUE
"612",8,"Male",2,1984,"Non-Black / Non-Hispanic",95262,8,11000,6,2,200,6,8,FALSE
"613",6,"Male",11,1983,"Non-Black / Non-Hispanic",82822,7,20000,6,2,285,6,8,TRUE
"618",7,"Male",12,1981,"Hispanic",59993,10,55000,5,8,245,2,6,TRUE
"619",7,"Male",5,1983,"Hispanic",16662,10,35000,5,10,190,6,7,TRUE
"624",6,"Female",8,1980,"Hispanic",32603,9,12000,5,6,137,6,8,TRUE
"627",5,"Male",12,1982,"Non-Black / Non-Hispanic",98373,5,10000,5,9,240,6,4,FALSE
"630",7,"Male",4,1981,"Non-Black / Non-Hispanic",63361,7,45000,5,10,180,3,7,TRUE
"632",7,"Female",8,1983,"Non-Black / Non-Hispanic",93903,7,63000,5,5,125,6,7,TRUE
"635",6,"Female",6,1981,"Non-Black / Non-Hispanic",64248,2,30000,5,8,150,4,8,TRUE
"638",8,"Male",1,1984,"Non-Black / Non-Hispanic",97225,8,50000,5,5,150,6,8,TRUE
"640",7,"Male",7,1982,"Non-Black / Non-Hispanic",54911,9,75000,6,4,219,5,8,TRUE
"642",7,"Male",6,1980,"Non-Black / Non-Hispanic",72046,8,42500,6,3,230,6,8,TRUE
"643",8,"Male",3,1982,"Non-Black / Non-Hispanic",70220,10,55000,6,3,300,6,7,TRUE
"647",6,"Male",7,1984,"Non-Black / Non-Hispanic",29055,8,4000,6,2,145,6,7,FALSE
"648",6,"Male",1,1981,"Non-Black / Non-Hispanic",21187,10,121993,6,0,235,3,5,TRUE
"649",7,"Male",6,1982,"Non-Black / Non-Hispanic",49154,10,56000,5,10,200,6,8,TRUE
"650",8,"Female",5,1984,"Non-Black / Non-Hispanic",23206,8,15000,5,1,120,4,8,TRUE
"653",7,"Male",12,1983,"Non-Black / Non-Hispanic",91568,7,40000,5,11,220,3,6,TRUE
"654",7,"Female",2,1980,"Non-Black / Non-Hispanic",80727,9,47000,5,6,155,6,6,TRUE
"659",5,"Male",8,1980,"Hispanic",87047,5,15000,5,7,180,4,5,FALSE
"660",6,"Female",7,1982,"Hispanic",64918,5,29000,5,6,125,6,5,TRUE
"661",8,"Male",11,1982,"Hispanic",14590,10,61000,5,4,115,2,9,TRUE
"662",5,"Male",8,1980,"Hispanic",4067,10,36000,5,11,200,5,5,TRUE
"664",4,"Male",6,1983,"Black",44940,10,121993,5,9,205,4,4,TRUE
"666",4,"Female",6,1981,"Non-Black / Non-Hispanic",78135,6,73000,5,4,130,6,5,TRUE
"667",7,"Female",11,1982,"Non-Black / Non-Hispanic",60034,7,43600,5,7,141,2,8,FALSE
"668",6,"Female",3,1984,"Non-Black / Non-Hispanic",70811,6,55000,5,5,137,6,6,TRUE
"669",5,"Male",2,1983,"Black",68257,5,25000,6,0,215,5,6,TRUE
"673",6,"Male",11,1982,"Black",75099,9,44000,6,0,215,6,6,TRUE
"675",5,"Female",1,1981,"Black",8920,7,250,5,4,193,3,6,FALSE
"676",8,"Female",9,1984,"Black",27664,10,38000,5,4,190,6,8,TRUE
"677",10,"Female",1,1983,"Black",3676,6,14000,5,6,248,4,6,TRUE
"680",7,"Male",3,1980,"Black",41546,10,1000,6,6,220,6,8,FALSE
"681",6,"Female",3,1984,"Black",51582,5,7000,5,1,145,1,5,FALSE
"685",8,"Male",1,1983,"Black",16841,9,10000,5,9,145,1,8,FALSE
"694",8,"Male",10,1980,"Hispanic",60768,5,30000,5,11,190,6,8,TRUE
"700",7,"Female",9,1980,"Black",2379,10,0,5,2,150,6,8,TRUE
"701",7,"Male",7,1982,"Black",0,7,500,5,9,240,1,9,FALSE
"706",8,"Male",5,1982,"Non-Black / Non-Hispanic",44322,8,50000,5,9,185,3,8,TRUE
"709",8,"Female",10,1981,"Hispanic",35216,10,8000,5,6,250,6,5,TRUE
"715",7,"Female",8,1984,"Black",60494,8,32000,5,4,130,5,6,FALSE
"716",7,"Male",5,1982,"Hispanic",23380,9,121993,5,7,170,3,5,TRUE
"717",8,"Male",11,1980,"Black",4166,9,30000,6,0,245,6,8,TRUE
"719",6,"Male",11,1981,"Black",73176,8,63000,6,3,315,6,6,FALSE
"720",7,"Male",2,1980,"Non-Black / Non-Hispanic",82427,8,46000,5,10,270,4,7,TRUE
"721",7,"Female",10,1981,"Hispanic",85980,8,40000,5,10,185,6,9,TRUE
"722",5,"Male",7,1983,"Non-Black / Non-Hispanic",96662,9,30000,5,11,205,4,5,FALSE
"723",7,"Male",5,1983,"Hispanic",47503,9,25000,6,0,170,4,7,TRUE
"725",6,"Female",9,1980,"Black",91393,7,121993,5,4,155,6,6,FALSE
"728",8,"Female",5,1983,"Black",15042,6,20000,5,4,160,4,6,FALSE
"729",8,"Male",3,1980,"Black",69945,4,38000,5,11,230,6,9,TRUE
"731",7,"Male",7,1981,"Non-Black / Non-Hispanic",96022,8,121993,6,3,195,6,6,TRUE
"734",5,"Female",12,1983,"Non-Black / Non-Hispanic",92465,7,64500,5,2,110,6,5,FALSE
