"","HrsSleep2009","Sex","BdayMonth","YearBorn","Ethnicity","ASVAB","LifeSat2008","Income2008","HeightFt2010","HeightIn2010","Weight2010","Computer2010","HrsSleep2010","Cohab2009"
"7479",5,"Female",4,1982,"Hispanic",29888,4,22000,5,3,212,1,9,TRUE
"7481",7,"Male",2,1984,"Hispanic",12381,6,22000,5,7,250,2,7,TRUE
"7485",5,"Male",5,1982,"Hispanic",16908,9,42000,6,2,224,6,5,FALSE
"7486",7,"Female",6,1984,"Hispanic",16019,7,17000,5,5,280,4,6,FALSE
"7487",5,"Female",8,1983,"Hispanic",26811,9,3000,5,6,132,3,6,FALSE
"7488",8,"Male",2,1983,"Hispanic",47671,10,45000,5,6,190,6,8,TRUE
"7489",6,"Female",8,1982,"Hispanic",86127,8,30000,5,3,150,6,7,TRUE
"7490",6,"Female",5,1982,"Hispanic",31848,8,700,5,4,150,3,7,TRUE
"7492",5,"Female",6,1982,"Hispanic",4090,6,0,4,11,202,6,6,FALSE
"7493",7,"Male",6,1983,"Hispanic",23844,1,24000,5,6,195,5,8,FALSE
"7494",7,"Male",12,1981,"Hispanic",73951,8,48000,6,2,185,3,8,TRUE
"7495",6,"Female",3,1984,"Hispanic",73417,9,39000,5,7,190,4,9,TRUE
"7496",8,"Male",4,1981,"Hispanic",9994,10,25000,5,11,260,5,8,FALSE
"7499",8,"Female",6,1983,"Hispanic",35901,7,32000,5,5,150,2,8,FALSE
"7508",9,"Female",11,1981,"Hispanic",37374,9,23000,5,2,140,6,8,TRUE
"7509",8,"Female",11,1981,"Hispanic",24883,7,35000,5,2,103,6,6,TRUE
"7510",8,"Male",7,1983,"Hispanic",30453,8,45000,5,11,177,3,8,TRUE
"7513",7,"Female",5,1980,"Hispanic",3728,5,10000,5,8,141,2,6,TRUE
"7514",7,"Female",4,1981,"Hispanic",71977,7,30000,5,7,165,6,6,FALSE
"7515",7,"Male",1,1983,"Hispanic",42507,9,45000,5,10,300,6,6,TRUE
"7517",5,"Female",12,1982,"Hispanic",39909,5,10000,5,3,190,3,4,FALSE
"7518",7,"Male",5,1983,"Hispanic",10237,5,4300,7,8,220,1,9,TRUE
"7521",8,"Female",3,1982,"Hispanic",37177,10,20000,5,1,140,6,8,TRUE
"7524",7,"Female",4,1983,"Hispanic",51019,7,44000,5,4,200,6,7,TRUE
"7528",7,"Male",12,1981,"Hispanic",72293,7,42000,5,7,190,6,6,TRUE
"7531",5,"Male",9,1982,"Black",31842,6,40000,6,2,180,6,7,TRUE
"7532",8,"Male",4,1981,"Hispanic",13339,10,40000,5,10,215,6,8,TRUE
"7536",6,"Male",9,1981,"Hispanic",17888,6,15000,5,6,185,3,5,FALSE
"7537",8,"Female",5,1984,"Hispanic",9988,6,34000,5,4,175,3,8,FALSE
"7538",6,"Male",8,1980,"Hispanic",19543,8,36000,5,9,165,6,6,TRUE
"7543",6,"Male",11,1984,"Hispanic",39539,9,26000,6,0,157,4,5,TRUE
"7546",8,"Male",5,1984,"Hispanic",18546,8,3200,6,4,330,6,6,FALSE
"7547",6,"Male",2,1982,"Black",29720,8,65000,5,11,210,6,6,TRUE
"7548",6,"Male",1,1981,"Hispanic",27897,10,25000,5,6,165,4,6,FALSE
"7552",8,"Female",7,1982,"Hispanic",53672,8,41000,5,7,182,6,7,TRUE
"7554",7,"Female",10,1981,"Hispanic",20501,10,19000,5,4,135,3,7,FALSE
"7555",8,"Female",10,1983,"Hispanic",72530,9,31000,5,6,130,3,6,TRUE
"7559",6,"Male",10,1983,"Hispanic",33950,7,13000,5,11,180,3,7,TRUE
"7563",6,"Male",12,1980,"Hispanic",21285,8,32000,5,7,173,3,7,TRUE
"7568",7,"Female",3,1981,"Hispanic",98086,8,13000,5,3,170,6,8,TRUE
"7569",7,"Female",12,1982,"Hispanic",90578,8,52000,5,3,115,6,7,TRUE
"7570",6,"Female",10,1984,"Hispanic",39389,9,25200,5,4,135,4,7,TRUE
"7571",7,"Female",8,1983,"Hispanic",76930,9,44000,5,2,155,6,7,FALSE
"7572",6,"Male",7,1980,"Hispanic",90189,4,15000,5,10,199,6,6,FALSE
"7573",8,"Male",2,1982,"Hispanic",56092,8,10971,5,11,170,6,8,FALSE
"7574",8,"Male",4,1980,"Hispanic",11430,10,48000,6,2,230,4,8,TRUE
"7575",8,"Male",12,1981,"Hispanic",35338,8,45000,6,3,215,4,6,FALSE
"7576",8,"Female",2,1983,"Hispanic",5967,10,15000,4,10,160,4,7,TRUE
"7577",7,"Male",3,1984,"Hispanic",6364,8,24000,5,10,205,6,7,TRUE
"7579",6,"Female",8,1984,"Hispanic",76591,7,33000,5,2,120,6,4,TRUE
"7581",6,"Female",1,1980,"Hispanic",94631,8,37000,5,4,128,5,8,TRUE
"7582",6,"Male",3,1981,"Hispanic",62425,3,10000,6,0,220,6,2,TRUE
"7583",8,"Female",3,1982,"Hispanic",41988,7,3000,4,11,145,2,8,FALSE
"7585",6,"Male",6,1982,"Hispanic",13457,9,35000,6,0,290,3,8,TRUE
"7587",6,"Female",10,1984,"Hispanic",50082,3,20000,5,5,134,2,8,TRUE
"7599",4,"Male",5,1981,"Hispanic",97402,8,121993,5,7,180,6,7,TRUE
"7601",8,"Female",11,1981,"Black",87378,6,55000,5,4,120,6,8,FALSE
"7604",8,"Female",1,1980,"Black",34766,7,40000,5,6,150,6,6,FALSE
"7606",6,"Female",10,1984,"Black",22650,7,40000,5,2,136,6,6,FALSE
"7613",8,"Female",12,1981,"Black",38483,8,2880,5,5,143,6,9,FALSE
"7614",6,"Female",1,1983,"Black",59006,6,45000,5,8,150,5,6,FALSE
"7615",6,"Female",8,1984,"Black",45257,6,30000,5,6,155,6,6,FALSE
"7619",7,"Male",9,1980,"Black",47190,8,60000,6,2,305,6,6,TRUE
"7621",6,"Male",9,1984,"Black",42612,10,10000,5,8,290,5,8,FALSE
"7622",6,"Female",9,1982,"Black",30345,6,9000,5,5,255,2,10,FALSE
